A 276
B 53
C 116
D 111
E 537
F 103
G 30
H 228
I 215
J 7
K 3
L 157
M 58
N 248
O 232
P 62
Q 8
R 192
S 268
T 364
U 82
V 52
W 37
X 16
Y 52
Z 2
